prompt,word1,probability1,word2,probability2,word3,probability3,word4,probability4,word5,probability5,word6,probability6,word7,probability7,word8,probability8,word9,probability9,word10,probability10
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a book, I classify it as", HIGH,0.5525534749031067, L,0.24270160496234894, a,0.10614113509654999, BOOK,0.01069026067852974, ,0.006968110334128141, high,0.006739016622304916, an,0.006669594440609217, H,0.006053981836885214, VAL,0.0036275202874094248, low,0.003578740172088146
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a rug, I classify it as", HIGH,0.40377581119537354, L,0.28564566373825073, a,0.15424245595932007, an,0.019741646945476532, either,0.013776548206806183, high,0.00817643292248249, ,0.007633737754076719, low,0.004240186884999275, H,0.004207594320178032, FLO,0.004130819346755743
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a crayon, I classify it as", L,0.39109137654304504, HIGH,0.3782494366168976, a,0.14604561030864716, low,0.008691979572176933, high,0.007470712531358004, ,0.007188980933278799, an,0.006299545522779226, H,0.00488459225744009, C,0.002596671227365732, VAL,0.0023753601126372814
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a clump of dust, I classify it as", HIGH,0.3795602321624756, L,0.3258804380893707, a,0.10635167360305786, an,0.01252197939902544, D,0.011339109390974045, ,0.009825238026678562, either,0.008549124002456665, H,0.008259028196334839, high,0.00579760130494833, dirt,0.0041828821413218975
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a sock, I classify it as", L,0.47226208448410034, HIGH,0.3058069348335266, a,0.14160218834877014, low,0.007766173221170902, an,0.007473001256585121, ,0.00644306093454361, high,0.006239015609025955, H,0.0033202064223587513, VAL,0.001877615344710648, High,0.0017541886772960424
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see knitting needles, I classify it as", HIGH,0.4139717221260071, L,0.389766126871109, a,0.1275928020477295, high,0.010698490776121616, low,0.007360528223216534, ,0.0052630724385380745, H,0.004906903952360153, an,0.003817860037088394, High,0.002105061197653413, VAL,0.001731843571178615
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a sewing machine, I classify it as", HIGH,0.4776792824268341, L,0.29597586393356323, a,0.14426782727241516, an,0.010511905886232853, high,0.007242477033287287, ,0.005732757970690727, H,0.005507965572178364, low,0.0033951702062040567, VAL,0.0030833114869892597, High,0.0021715157199651003
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a games console, I classify it as", HIGH,0.514468789100647, L,0.28463560342788696, a,0.13061071932315826, high,0.00755482679232955, an,0.006306054536253214, H,0.005888043902814388, ,0.005772080272436142, low,0.004458534065634012, VAL,0.0025828154757618904, High,0.002139042364433408
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a football, I classify it as", HIGH,0.4955322742462158, L,0.30298006534576416, a,0.13905785977840424, high,0.009038149379193783, low,0.0063263773918151855, an,0.005570887587964535, ,0.005157380364835262, H,0.004666006192564964, VAL,0.002269321121275425, High,0.0017083361744880676
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a dreamcatcher, I classify it as", L,0.4212942123413086, HIGH,0.31895211338996887, a,0.17828062176704407, an,0.011457542888820171, high,0.008350447751581669, ,0.007343718316406012, low,0.006854224018752575, H,0.004401948768645525, High,0.002451268956065178, VAL,0.0018485705368220806
